[2024/01/31 20:50:25] - <__main__.Args object at 0x146cf8b43580>
[2024/01/31 20:50:47] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 20:51:03] - Task was destroyed but it is pending!
task: <Task pending name='Task-1' coro=<Kernel.poll_control_queue() running at /opt/conda/lib/python3.8/site-packages/ipykernel/kernelbase.py:273> wait_for=<Future finished result=<Future at 0x...state=pending>> cb=[_chain_future.<locals>._call_set_state() at /opt/conda/lib/python3.8/asyncio/futures.py:367]>
[2024/01/31 20:51:08] - <__main__.Args object at 0x14a1739e6ee0>
[2024/01/31 20:51:10] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2024/01/31 21:24:36] - 6 	 65.0 	 	 12.3 	 	 0.1000 	 1.2735 	 0.5865 	 1.7051 	 	 0.3540 	 	 1.2112 	 0.6139 	 1.6265 	 	 0.4059
[2024/01/31 21:25:54] - 7 	 65.1 	 	 12.3 	 	 0.1000 	 1.2261 	 0.6078 	 1.6765 	 	 0.3683 	 	 1.2013 	 0.6064 	 1.6091 	 	 0.4024
[2024/01/31 21:27:12] - 8 	 65.2 	 	 12.2 	 	 0.1000 	 1.1828 	 0.6256 	 1.6464 	 	 0.3743 	 	 1.1619 	 0.6264 	 1.6015 	 	 0.3878
[2024/01/31 21:28:29] - 9 	 65.3 	 	 12.2 	 	 0.1000 	 1.1491 	 0.6426 	 1.6265 	 	 0.3828 	 	 1.1219 	 0.6470 	 1.5616 	 	 0.4149
[2024/01/31 21:29:48] - 10 	 65.1 	 	 12.3 	 	 0.1000 	 1.1254 	 0.6530 	 1.6113 	 	 0.3903 	 	 1.1353 	 0.6418 	 1.5482 	 	 0.4271
[2024/01/31 21:31:06] - 11 	 65.2 	 	 12.2 	 	 0.1000 	 1.1049 	 0.6617 	 1.5985 	 	 0.3968 	 	 1.0518 	 0.6590 	 1.5480 	 	 0.4224
[2024/01/31 21:32:23] - 12 	 64.9 	 	 12.2 	 	 0.1000 	 1.0819 	 0.6718 	 1.5819 	 	 0.4022 	 	 1.0779 	 0.6738 	 1.5332 	 	 0.4292
[2024/01/31 21:33:41] - 13 	 65.0 	 	 12.2 	 	 0.1000 	 1.0644 	 0.6803 	 1.5696 	 	 0.4068 	 	 1.0293 	 0.6701 	 1.5187 	 	 0.4277
[2024/01/31 21:34:58] - 14 	 65.1 	 	 12.3 	 	 0.1000 	 1.0422 	 0.6900 	 1.5537 	 	 0.4115 	 	 1.0459 	 0.6698 	 1.5339 	 	 0.4201
[2024/01/31 21:36:16] - 15 	 65.3 	 	 12.3 	 	 0.1000 	 1.0257 	 0.6968 	 1.5416 	 	 0.4170 	 	 1.0273 	 0.6722 	 1.5217 	 	 0.4248
[2024/01/31 21:37:33] - 16 	 65.3 	 	 12.2 	 	 0.1000 	 1.0152 	 0.6996 	 1.5352 	 	 0.4182 	 	 1.0074 	 0.6843 	 1.5056 	 	 0.4263
[2024/01/31 21:38:50] - 17 	 65.1 	 	 12.2 	 	 0.1000 	 1.0072 	 0.7035 	 1.5292 	 	 0.4192 	 	 1.0175 	 0.6723 	 1.5069 	 	 0.4343
[2024/01/31 21:40:08] - 18 	 65.0 	 	 12.3 	 	 0.1000 	 0.9940 	 0.7043 	 1.5183 	 	 0.4237 	 	 1.0240 	 0.6587 	 1.5194 	 	 0.4238
[2024/01/31 21:41:25] - 19 	 65.0 	 	 12.2 	 	 0.1000 	 0.9826 	 0.7146 	 1.5114 	 	 0.4270 	 	 0.9993 	 0.6786 	 1.4994 	 	 0.4405
[2024/01/31 21:42:44] - 20 	 64.9 	 	 12.2 	 	 0.1000 	 0.9716 	 0.7150 	 1.5006 	 	 0.4325 	 	 0.9516 	 0.6828 	 1.4726 	 	 0.4491
[2024/01/31 21:44:02] - 21 	 65.0 	 	 12.3 	 	 0.1000 	 0.9652 	 0.7180 	 1.4969 	 	 0.4335 	 	 0.9731 	 0.7069 	 1.4632 	 	 0.4567
[2024/01/31 21:45:20] - 22 	 65.5 	 	 12.2 	 	 0.1000 	 0.9555 	 0.7250 	 1.4924 	 	 0.4336 	 	 0.9729 	 0.6987 	 1.4866 	 	 0.4374
[2024/01/31 21:46:37] - 23 	 65.0 	 	 12.2 	 	 0.1000 	 0.9507 	 0.7257 	 1.4875 	 	 0.4368 	 	 0.9163 	 0.7100 	 1.4949 	 	 0.4348
[2024/01/31 21:47:54] - 24 	 65.1 	 	 12.3 	 	 0.1000 	 0.9484 	 0.7278 	 1.4867 	 	 0.4373 	 	 0.9486 	 0.6980 	 1.4959 	 	 0.4453
[2024/01/31 21:49:12] - 25 	 65.0 	 	 12.2 	 	 0.1000 	 0.9342 	 0.7350 	 1.4780 	 	 0.4382 	 	 0.9183 	 0.7249 	 1.4774 	 	 0.4447
[2024/01/31 21:50:29] - 26 	 64.9 	 	 12.3 	 	 0.1000 	 0.9336 	 0.7339 	 1.4760 	 	 0.4377 	 	 0.9361 	 0.6921 	 1.4750 	 	 0.4403
[2024/01/31 21:51:46] - 27 	 65.0 	 	 12.3 	 	 0.1000 	 0.9280 	 0.7364 	 1.4714 	 	 0.4414 	 	 0.9275 	 0.7111 	 1.4544 	 	 0.4541
[2024/01/31 21:53:03] - 28 	 65.1 	 	 12.2 	 	 0.1000 	 0.9221 	 0.7406 	 1.4674 	 	 0.4433 	 	 0.9161 	 0.7194 	 1.4697 	 	 0.4431
[2024/01/31 21:54:20] - 29 	 64.9 	 	 12.2 	 	 0.1000 	 0.9205 	 0.7391 	 1.4646 	 	 0.4455 	 	 0.9210 	 0.7170 	 1.4528 	 	 0.4597
[2024/01/31 21:55:39] - 30 	 65.3 	 	 12.3 	 	 0.1000 	 0.9121 	 0.7422 	 1.4603 	 	 0.4456 	 	 0.8870 	 0.7375 	 1.4508 	 	 0.4597
[2024/01/31 21:56:57] - 31 	 65.2 	 	 12.2 	 	 0.1000 	 0.9076 	 0.7457 	 1.4569 	 	 0.4423 	 	 1.0075 	 0.7008 	 1.4993 	 	 0.4420
[2024/01/31 21:58:15] - 32 	 65.4 	 	 12.2 	 	 0.1000 	 0.9075 	 0.7451 	 1.4556 	 	 0.4456 	 	 0.9156 	 0.7355 	 1.4413 	 	 0.4553
[2024/01/31 21:59:32] - 33 	 65.1 	 	 12.3 	 	 0.1000 	 0.9007 	 0.7482 	 1.4504 	 	 0.4489 	 	 0.9464 	 0.7033 	 1.4961 	 	 0.4371
[2024/01/31 22:00:49] - 34 	 65.0 	 	 12.2 	 	 0.1000 	 0.8970 	 0.7482 	 1.4482 	 	 0.4501 	 	 0.9482 	 0.6958 	 1.4821 	 	 0.4415
[2024/01/31 22:02:06] - 35 	 65.0 	 	 12.2 	 	 0.1000 	 0.8965 	 0.7487 	 1.4473 	 	 0.4504 	 	 0.8873 	 0.7178 	 1.4687 	 	 0.4439
[2024/01/31 22:03:24] - 36 	 65.0 	 	 12.2 	 	 0.1000 	 0.8949 	 0.7486 	 1.4445 	 	 0.4513 	 	 0.9601 	 0.7022 	 1.4670 	 	 0.4504
[2024/01/31 22:04:41] - 37 	 64.9 	 	 12.2 	 	 0.1000 	 0.8899 	 0.7513 	 1.4424 	 	 0.4507 	 	 0.9604 	 0.7214 	 1.4664 	 	 0.4555
[2024/01/31 22:05:58] - 38 	 65.1 	 	 12.2 	 	 0.1000 	 0.8807 	 0.7580 	 1.4353 	 	 0.4546 	 	 0.9189 	 0.6972 	 1.4530 	 	 0.4509
[2024/01/31 22:07:15] - 39 	 65.1 	 	 12.3 	 	 0.1000 	 0.8859 	 0.7547 	 1.4407 	 	 0.4524 	 	 0.9211 	 0.7502 	 1.4397 	 	 0.4703
[2024/01/31 22:08:34] - 40 	 65.2 	 	 12.2 	 	 0.1000 	 0.8834 	 0.7565 	 1.4386 	 	 0.4517 	 	 0.8843 	 0.7219 	 1.4565 	 	 0.4564
[2024/01/31 22:09:52] - 41 	 65.1 	 	 12.2 	 	 0.1000 	 0.8763 	 0.7587 	 1.4331 	 	 0.4548 	 	 0.8761 	 0.7511 	 1.4348 	 	 0.4613
[2024/01/31 22:11:09] - 42 	 65.1 	 	 12.3 	 	 0.1000 	 0.8753 	 0.7575 	 1.4324 	 	 0.4549 	 	 0.9054 	 0.7180 	 1.4384 	 	 0.4621
[2024/01/31 22:12:26] - 43 	 65.0 	 	 12.2 	 	 0.1000 	 0.8736 	 0.7592 	 1.4293 	 	 0.4554 	 	 0.8585 	 0.7421 	 1.4361 	 	 0.4591
[2024/01/31 22:13:43] - 44 	 65.0 	 	 12.2 	 	 0.1000 	 0.8762 	 0.7576 	 1.4343 	 	 0.4546 	 	 0.8559 	 0.7382 	 1.4192 	 	 0.4670
[2024/01/31 22:15:01] - 45 	 65.0 	 	 12.3 	 	 0.1000 	 0.8728 	 0.7570 	 1.4296 	 	 0.4588 	 	 0.9362 	 0.7108 	 1.4539 	 	 0.4565
[2024/01/31 22:16:18] - 46 	 65.0 	 	 12.2 	 	 0.1000 	 0.8716 	 0.7595 	 1.4303 	 	 0.4544 	 	 0.8914 	 0.7502 	 1.4247 	 	 0.4658
[2024/01/31 22:17:35] - 47 	 65.3 	 	 12.2 	 	 0.1000 	 0.8700 	 0.7619 	 1.4286 	 	 0.4564 	 	 0.9101 	 0.7186 	 1.4342 	 	 0.4584
[2024/01/31 22:18:53] - 48 	 65.0 	 	 12.3 	 	 0.1000 	 0.8668 	 0.7633 	 1.4278 	 	 0.4569 	 	 0.8854 	 0.7250 	 1.4610 	 	 0.4423
[2024/01/31 22:20:10] - 49 	 65.3 	 	 12.2 	 	 0.1000 	 0.8658 	 0.7607 	 1.4232 	 	 0.4574 	 	 0.8469 	 0.7215 	 1.4314 	 	 0.4602
[2024/01/31 22:21:29] - 50 	 65.4 	 	 12.2 	 	 0.1000 	 0.8599 	 0.7649 	 1.4213 	 	 0.4583 	 	 0.8787 	 0.7398 	 1.4289 	 	 0.4614
[2024/01/31 22:22:46] - 51 	 65.1 	 	 12.2 	 	 0.1000 	 0.8558 	 0.7661 	 1.4184 	 	 0.4588 	 	 0.9083 	 0.7204 	 1.4561 	 	 0.4525
[2024/01/31 22:24:03] - 52 	 65.0 	 	 12.3 	 	 0.1000 	 0.8578 	 0.7660 	 1.4198 	 	 0.4601 	 	 0.8575 	 0.7374 	 1.4232 	 	 0.4639
[2024/01/31 22:25:21] - 53 	 65.5 	 	 12.2 	 	 0.1000 	 0.8569 	 0.7657 	 1.4172 	 	 0.4618 	 	 0.8657 	 0.7471 	 1.4485 	 	 0.4570
[2024/01/31 22:26:39] - 54 	 65.3 	 	 12.2 	 	 0.1000 	 0.8564 	 0.7680 	 1.4166 	 	 0.4587 	 	 0.8637 	 0.7225 	 1.4369 	 	 0.4609
[2024/01/31 22:27:56] - 55 	 65.1 	 	 12.3 	 	 0.1000 	 0.8529 	 0.7689 	 1.4165 	 	 0.4623 	 	 0.8693 	 0.7445 	 1.4434 	 	 0.4562
[2024/01/31 22:29:13] - 56 	 65.0 	 	 12.2 	 	 0.1000 	 0.8512 	 0.7679 	 1.4147 	 	 0.4646 	 	 0.8694 	 0.7331 	 1.4263 	 	 0.4537
[2024/01/31 22:30:31] - 57 	 65.4 	 	 12.2 	 	 0.1000 	 0.8499 	 0.7685 	 1.4138 	 	 0.4621 	 	 0.8705 	 0.7438 	 1.4257 	 	 0.4683
[2024/01/31 22:31:48] - 58 	 65.1 	 	 12.3 	 	 0.1000 	 0.8516 	 0.7669 	 1.4160 	 	 0.4618 	 	 0.8804 	 0.7288 	 1.4357 	 	 0.4646
[2024/01/31 22:33:06] - 59 	 65.1 	 	 12.2 	 	 0.1000 	 0.8469 	 0.7690 	 1.4102 	 	 0.4651 	 	 0.8670 	 0.7341 	 1.4271 	 	 0.4619
[2024/01/31 22:34:24] - 60 	 65.0 	 	 12.2 	 	 0.1000 	 0.8449 	 0.7695 	 1.4081 	 	 0.4654 	 	 0.8710 	 0.7306 	 1.4319 	 	 0.4619
[2024/01/31 22:35:41] - 61 	 65.5 	 	 12.3 	 	 0.1000 	 0.8481 	 0.7682 	 1.4133 	 	 0.4616 	 	 0.8934 	 0.7370 	 1.4441 	 	 0.4571
[2024/01/31 22:36:59] - 62 	 65.7 	 	 12.2 	 	 0.1000 	 0.8491 	 0.7688 	 1.4139 	 	 0.4615 	 	 0.8663 	 0.7396 	 1.4237 	 	 0.4672
[2024/01/31 22:38:17] - 63 	 65.0 	 	 12.2 	 	 0.1000 	 0.8401 	 0.7731 	 1.4052 	 	 0.4657 	 	 0.9101 	 0.7367 	 1.4289 	 	 0.4723
[2024/01/31 22:39:34] - 64 	 65.1 	 	 12.3 	 	 0.1000 	 0.8427 	 0.7720 	 1.4081 	 	 0.4628 	 	 0.8522 	 0.7433 	 1.4196 	 	 0.4653
[2024/01/31 22:40:52] - 65 	 64.9 	 	 12.3 	 	 0.1000 	 0.8358 	 0.7747 	 1.4024 	 	 0.4662 	 	 0.8802 	 0.7358 	 1.4754 	 	 0.4468
[2024/01/31 22:42:09] - 66 	 65.0 	 	 12.2 	 	 0.1000 	 0.8406 	 0.7716 	 1.4049 	 	 0.4646 	 	 0.8446 	 0.7476 	 1.4289 	 	 0.4653
[2024/01/31 22:43:26] - 67 	 65.2 	 	 12.2 	 	 0.1000 	 0.8360 	 0.7737 	 1.4044 	 	 0.4627 	 	 0.8760 	 0.7364 	 1.4221 	 	 0.4694
[2024/01/31 22:44:44] - 68 	 65.0 	 	 12.3 	 	 0.1000 	 0.8411 	 0.7717 	 1.4051 	 	 0.4651 	 	 0.8785 	 0.7356 	 1.4390 	 	 0.4634
[2024/01/31 22:46:01] - 69 	 65.0 	 	 12.2 	 	 0.1000 	 0.8354 	 0.7755 	 1.4010 	 	 0.4679 	 	 0.8740 	 0.7388 	 1.4127 	 	 0.4663
[2024/01/31 22:47:19] - 70 	 65.0 	 	 12.2 	 	 0.1000 	 0.8377 	 0.7732 	 1.4036 	 	 0.4642 	 	 0.8435 	 0.7581 	 1.4296 	 	 0.4653
[2024/01/31 22:48:36] - 71 	 65.1 	 	 12.3 	 	 0.1000 	 0.8329 	 0.7747 	 1.4020 	 	 0.4663 	 	 0.8408 	 0.7498 	 1.4177 	 	 0.4609
[2024/01/31 22:49:53] - 72 	 65.0 	 	 12.2 	 	 0.1000 	 0.8315 	 0.7768 	 1.3981 	 	 0.4691 	 	 0.8676 	 0.7355 	 1.4403 	 	 0.4563
[2024/01/31 22:51:11] - 73 	 65.0 	 	 12.2 	 	 0.1000 	 0.8332 	 0.7770 	 1.4034 	 	 0.4662 	 	 0.8896 	 0.7173 	 1.4232 	 	 0.4639
[2024/01/31 22:52:28] - 74 	 64.9 	 	 12.2 	 	 0.1000 	 0.8363 	 0.7732 	 1.4042 	 	 0.4639 	 	 0.9115 	 0.7394 	 1.4432 	 	 0.4660
[2024/01/31 22:53:45] - 75 	 65.1 	 	 12.3 	 	 0.1000 	 0.8326 	 0.7772 	 1.3987 	 	 0.4670 	 	 0.8285 	 0.7618 	 1.4001 	 	 0.4773
[2024/01/31 22:55:03] - 76 	 65.0 	 	 12.2 	 	 0.1000 	 0.8420 	 0.7725 	 1.4068 	 	 0.4633 	 	 0.8668 	 0.7480 	 1.4102 	 	 0.4767
[2024/01/31 22:56:20] - 77 	 64.9 	 	 12.2 	 	 0.1000 	 0.8351 	 0.7753 	 1.4024 	 	 0.4654 	 	 0.8511 	 0.7409 	 1.4153 	 	 0.4682
[2024/01/31 22:57:37] - 78 	 65.0 	 	 12.3 	 	 0.1000 	 0.8296 	 0.7774 	 1.3993 	 	 0.4661 	 	 0.8616 	 0.7565 	 1.4021 	 	 0.4788
[2024/01/31 22:58:55] - 79 	 64.9 	 	 12.3 	 	 0.1000 	 0.8287 	 0.7774 	 1.3955 	 	 0.4689 	 	 0.9029 	 0.7219 	 1.4421 	 	 0.4576
[2024/01/31 23:00:13] - 80 	 65.1 	 	 12.2 	 	 0.1000 	 0.8329 	 0.7779 	 1.4019 	 	 0.4669 	 	 0.8465 	 0.7600 	 1.4223 	 	 0.4661
[2024/01/31 23:01:30] - 81 	 65.0 	 	 12.2 	 	 0.1000 	 0.8310 	 0.7770 	 1.4001 	 	 0.4657 	 	 0.8744 	 0.7433 	 1.4238 	 	 0.4589
[2024/01/31 23:02:48] - 82 	 65.0 	 	 12.3 	 	 0.1000 	 0.8339 	 0.7773 	 1.4018 	 	 0.4658 	 	 0.8587 	 0.7355 	 1.4189 	 	 0.4609
[2024/01/31 23:04:05] - 83 	 65.1 	 	 12.2 	 	 0.1000 	 0.8244 	 0.7790 	 1.3950 	 	 0.4679 	 	 0.8703 	 0.7302 	 1.4293 	 	 0.4602
